Date,0050.TW,006208.TW,0056.TW,00878.TW,00919.TW,2330.TW
2009/3/18,36,,15.82999992,,,46.26865768
2009/3/19,35,,15.63000011,,,52.73631668
2009/3/20,38.40999985,,15.60000038,,,52.33830643
2009/3/23,35.41999817,,15.60000038,,,47.46268463
2009/3/24,34.02000046,,16.20000076,,,46.56716537
2009/3/25,35,,16.35000038,,,48.50746155
2009/3/26,40.45999908,,16.60000038,,,55.52238846
2009/3/27,40.75999832,,16.70000076,,,51.44278717
2009/3/30,40.40999985,,16.35000038,,,51.6417923
2009/3/31,33.75,,16,,,48.15920258
2009/4/2,35,,16.48999977,,,46.96517563
2009/4/3,35.88000107,,16.79999924,,,48.50746155
2009/4/6,36,,17,,,55.92039871
2009/4/7,38.79000092,,17,,,55.72139359
2009/4/8,40,,17.10000038,,,48.25870514
2009/4/9,40.36999893,,17.10000038,,,49.75124359
2009/4/10,42.02000046,,17.64999962,,,48.50746155
2009/4/13,37.18000031,,17.86000061,,,49.05472565
2009/4/14,42.99000168,,18,,,56.01990128
2009/4/15,40.5,,18,,,48.60696411
2009/4/16,43.06000137,,18,,,55.32338333
2009/4/17,44.08000183,,18.35000038,,,47.51243591
2009/4/20,37.09000015,,17.44000053,,,46.66666412
2009/4/21,42.97999954,,17.20000076,,,48.05970001
2009/4/22,43.63000107,,18.10000038,,,54.92537308
2009/4/23,43.49000168,,18,,,46.96517563
2009/4/24,37.63000107,,18.20000076,,,47.51243591
2009/4/27,38,,18,,,49.75124359
2009/4/28,36.75999832,,17.5,,,46.7661705
2009/4/29,40,,17.04999924,,,47.21392822
2009/4/30,40,,18.15999985,,,47.76119232
2009/5/4,40,,19.20000076,,,51.14427948
2009/5/5,41.95000076,,20.5,,,54.62686539
2009/5/6,43.06000137,,18.95000076,,,57.71144104
2009/5/7,45,,19.63999939,,,53.2338295
2009/5/8,49.54000092,,19.53000069,,,56.2189064
2009/5/11,49.02999878,,19.95000076,,,52.1393013
2009/5/12,42.97000122,,20,,,52.03979874
2009/5/13,44.59999847,,19.29999924,,,55.1243782
2009/5/14,47.79000092,,19.39999962,,,52.23880386
2009/5/15,40.59999847,,19.5,,,50.44776154
2009/5/18,44.79999924,,19.60000038,,,54.52736282
2009/5/19,48,,20.10000038,,,55.72139359
2009/5/20,43,,19.70000076,,,56.71641541
2009/5/21,49.54000092,,19.79999924,,,52.03979874
2009/5/22,49.15999985,,19.61000061,,,56.31840515
2009/5/25,48.97999954,,19.95999908,,,52.03979874
2009/5/26,45.72999954,,19.80999947,,,59.20397949
2009/5/27,48.79000092,,19.80999947,,,56.31840515
2009/6/1,51.34999847,,20.39999962,,,60.09950256
2009/6/2,51.04999924,,20.54999924,,,58.70646667
2009/6/3,51.15000153,,20.39999962,,,63.68159103
2009/6/4,44.45000076,,20.29999924,,,63.58208847
2009/6/5,43.43999863,,20.20999908,,,61.5920372
2009/6/8,50.15000153,,20.60000038,,,53.43283463
2009/6/9,48.90000153,,19.89999962,,,60.19900513
2009/6/10,41.34000015,,19.20000076,,,59.70149231
2009/6/11,47.97999954,,19.20000076,,,57.71144104
2009/6/12,45.25999832,,19.60000038,,,57.51243591
2009/6/15,44.29999924,,19.11000061,,,54.3283577
2009/6/16,43.04000092,,18.5,,,52.93532181
2009/6/17,43.04999924,,18.70999908,,,52.63681412
2009/6/18,42.97000122,,18.73999977,,,53.03482437
2009/6/19,42.75,,18.65999985,,,51.94029617
2009/6/22,43.06999969,,18.96999931,,,50.74626923
2009/6/23,42.84999847,,18.84000015,,,51.54228973
2009/6/24,42.79999924,,18.70000076,,,51.34328461
2009/6/25,44.34999847,,19.29999924,,,53.2338295
2009/6/26,44.75,,19.5,,,53.53233719
2009/6/29,44.79999924,,19.47999954,,,54.22885513
2009/6/30,44.88000107,,19.36000061,,,54.3283577
2009/7/1,44.47999954,,19.35000038,,,54.02985001
2009/7/2,45.59999847,,19.79000092,,,54.62686539
2009/7/3,45.45000076,,19.89999962,,,53.83084488
2009/7/6,45.79999924,,20.10000038,,,54.82587051
2009/7/7,45.40000153,,20.20000076,,,54.12935257
2009/7/8,45.77000046,,20.26000023,,,54.42786026
2009/7/9,45.88000107,,20.25,,,54.12935257
2009/7/10,46.61999893,,20.42000008,,,55.72139359
2009/7/13,46.75,,20.5,,,56.91542053
2009/7/14,45.68000031,,19.88999939,,,55.22388077
